[rospy.client][INFO] 2019-03-05 08:17:36,825: init_node, name[/tactic_interface], pid[3002]
[xmlrpc][INFO] 2019-03-05 08:17:36,829: XML-RPC server binding to 0.0.0.0:0
[rospy.init][INFO] 2019-03-05 08:17:36,835: ROS Slave URI: [http://copter131:35783/]
[xmlrpc][INFO] 2019-03-05 08:17:36,835: Started XML-RPC server [http://copter131:35783/]
[rospy.impl.masterslave][INFO] 2019-03-05 08:17:36,838: _ready: http://copter131:35783/
[xmlrpc][INFO] 2019-03-05 08:17:36,840: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-03-05 08:17:36,841: Registering with master node http://localhost:11311
[rospy.registration][INFO] 2019-03-05 08:17:36,842: Registering publisher topic [/safety/payload_waypoint] type [autopilot_bridge/LLA] with master
[rospy.registration][INFO] 2019-03-05 08:17:37,858: registering subscriber topic [/autopilot/status] type [autopilot_bridge/Status] with master
[rospy.init][INFO] 2019-03-05 08:17:37,938: registered with master
[rospy.rosout][INFO] 2019-03-05 08:17:37,939: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-05 08:17:37,957: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-05 08:17:37,968: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-05 08:17:38,075: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-05 08:17:38,264: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-05 08:17:39,086: topic[/autopilot/acs_pose] adding connection to [http://copter131:60703/], count 0
[rospy.internal][INFO] 2019-03-05 08:17:39,103: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:44833/], count 0
[rospy.internal][INFO] 2019-03-05 08:17:39,176: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
[rospy.internal][INFO] 2019-03-05 08:17:39,179: topic[/network/swarm_sub_behavior] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-05 08:17:39,186: topic[/air_to_air/firing_reports] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-05 08:17:39,193: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-05 08:17:39,471: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-05 08:17:39,622: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:50251/], count 0
[rospy.internal][INFO] 2019-03-05 08:17:39,675: topic[/swarm_control/ap_intent] adding connection to [http://copter131:50251/], count 0
[rospy.internal][INFO] 2019-03-05 08:17:40,076: topic[/autopilot/status] adding connection to [http://copter131:60703/], count 0
