[rospy.client][INFO] 2019-03-28 07:12:54,994: init_node, name[/evader], pid[3145]
[xmlrpc][INFO] 2019-03-28 07:12:54,995: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2019-03-28 07:12:54,996: Started XML-RPC server [http://copter131:42398/]
[rospy.init][INFO] 2019-03-28 07:12:54,996: ROS Slave URI: [http://copter131:42398/]
[rospy.impl.masterslave][INFO] 2019-03-28 07:12:54,997: _ready: http://copter131:42398/
[xmlrpc][INFO] 2019-03-28 07:12:54,998: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-03-28 07:12:54,999: Registering with master node http://localhost:11311
[rospy.init][INFO] 2019-03-28 07:12:55,097: registered with master
[rospy.rosout][INFO] 2019-03-28 07:12:55,098: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-28 07:12:56,104: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-28 07:12:56,110: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-28 07:12:56,227: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-28 07:12:56,286: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:56714/], count 0
[rospy.internal][INFO] 2019-03-28 07:12:56,364: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-28 07:12:56,410: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-28 07:12:56,471: topic[/autopilot/acs_pose] adding connection to [http://copter131:57137/], count 0
[rospy.internal][INFO] 2019-03-28 07:12:56,521: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-28 07:12:56,636: topic[/autopilot/status] adding connection to [http://copter131:57137/], count 0
[rospy.internal][INFO] 2019-03-28 07:12:56,860: topic[/swarm_control/ap_intent] adding connection to [http://copter131:36219/], count 0
[rospy.internal][INFO] 2019-03-28 07:12:57,795: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:36219/], count 0
