[rosmaster.main][INFO] 2012-12-31 16:00:18,505: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-31 16:00:18,506: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-31 16:00:18,507: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2012-12-31 16:00:18,508: Started XML-RPC server [http://copter131:11311/]
[rosmaster.master][INFO] 2012-12-31 16:00:18,508: Master initialized: port[11311], uri[http://copter131:11311/]
[xmlrpc][INFO] 2012-12-31 16:00:18,509: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-31 16:00:18,595: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,598: +PARAM [/roslaunch/uris/host_copter131__59116] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,716: +PARAM [/swarm_team] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,717: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,717: +PARAM [/aircraft_name] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,717: +PARAM [/fetch_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,718: +PARAM [/dis_between_land_points] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,718: +PARAM [/network_port] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,718: +PARAM [/aircraft_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,718: +PARAM [/do_deconflict_land] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,718: +PARAM [/subswarm_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,719: +PARAM [/aircraft_type] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,719: +PARAM [/sensor_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,719: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,720: +PARAM [/runway_pt2_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,720: +PARAM [/runway_pt2_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,720: +PARAM [/flight_ready] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,720: +PARAM [/runway_pt1_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,720: +PARAM [/network_device] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,721: +PARAM [/verify_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,721: +PARAM [/rosbag_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,721: +PARAM [/runway_pt1_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,818: +SERVICE [/rosout/get_loggers] /rosout http://copter131:37039/
[rosmaster.master][INFO] 2012-12-31 16:00:18,820: +SERVICE [/rosout/set_logger_level] /rosout http://copter131:37039/
