[rospy.client][INFO] 2019-03-28 07:12:53,404: init_node, name[/simple_ground_attack], pid[2950]
[xmlrpc][INFO] 2019-03-28 07:12:53,422: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2019-03-28 07:12:53,428: Started XML-RPC server [http://copter131:42409/]
[rospy.init][INFO] 2019-03-28 07:12:53,428: ROS Slave URI: [http://copter131:42409/]
[rospy.impl.masterslave][INFO] 2019-03-28 07:12:53,429: _ready: http://copter131:42409/
[rospy.registration][INFO] 2019-03-28 07:12:53,448: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2019-03-28 07:12:53,448: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2019-03-28 07:12:53,529: registered with master
[rospy.rosout][INFO] 2019-03-28 07:12:53,530: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-28 07:12:54,425: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-28 07:12:54,499: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-28 07:12:54,654: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-28 07:12:54,769: topic[/safety/payload_rate] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-28 07:12:54,774: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-28 07:12:55,059: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
[rospy.internal][INFO] 2019-03-28 07:12:55,301: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-28 07:12:56,468: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-28 07:12:56,605: topic[/autopilot/status] adding connection to [http://copter131:57137/], count 0
[rospy.internal][INFO] 2019-03-28 07:12:56,771: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:36219/], count 0
[rospy.internal][INFO] 2019-03-28 07:12:56,840: topic[/swarm_control/ap_intent] adding connection to [http://copter131:36219/], count 0
