[rospy.client][INFO] 2012-12-31 16:00:24,248: init_node, name[/evader], pid[3200]
[xmlrpc][INFO] 2012-12-31 16:00:24,250: XML-RPC server binding to 0.0.0.0:0
[rospy.init][INFO] 2012-12-31 16:00:24,251: ROS Slave URI: [http://copter131:33657/]
[xmlrpc][INFO] 2012-12-31 16:00:24,251: Started XML-RPC server [http://copter131:33657/]
[rospy.impl.masterslave][INFO] 2012-12-31 16:00:24,252: _ready: http://copter131:33657/
[xmlrpc][INFO] 2012-12-31 16:00:24,253: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2012-12-31 16:00:24,254: Registering with master node http://localhost:11311
[rospy.init][INFO] 2012-12-31 16:00:24,352: registered with master
[rospy.rosout][INFO] 2012-12-31 16:00:24,352: initializing /rosout core topic
[rospy.rosout][INFO] 2012-12-31 16:00:24,371: connected to core topic /rosout
[rospy.simtime][INFO] 2012-12-31 16:00:24,385: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2012-12-31 16:00:24,520: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2012-12-31 16:00:24,660: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2012-12-31 16:00:24,969: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2012-12-31 16:00:25,512: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:45940/], count 0
[rospy.internal][INFO] 2019-03-05 07:13:18,574: topic[/autopilot/acs_pose] adding connection to [http://copter131:34594/], count 0
[rospy.internal][INFO] 2019-03-05 07:13:19,062: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:36745/], count 0
[rospy.internal][INFO] 2019-03-05 07:13:19,364: topic[/autopilot/status] adding connection to [http://copter131:34594/], count 0
[rospy.internal][INFO] 2019-03-05 07:13:19,628: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-05 07:13:20,145: topic[/swarm_control/ap_intent] adding connection to [http://copter131:36745/], count 0
