[rosmaster.main][INFO] 2012-12-31 16:00:18,512: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-31 16:00:18,513: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-31 16:00:18,514: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2012-12-31 16:00:18,515: Started XML-RPC server [http://copter131:11311/]
[rosmaster.master][INFO] 2012-12-31 16:00:18,515: Master initialized: port[11311], uri[http://copter131:11311/]
[xmlrpc][INFO] 2012-12-31 16:00:18,516: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-31 16:00:18,603: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,606: +PARAM [/roslaunch/uris/host_copter131__43492] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,724: +PARAM [/swarm_team] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,724: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,724: +PARAM [/aircraft_name] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,725: +PARAM [/fetch_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,725: +PARAM [/dis_between_land_points] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,725: +PARAM [/network_port] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,725: +PARAM [/aircraft_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,726: +PARAM [/do_deconflict_land] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,726: +PARAM [/subswarm_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,726: +PARAM [/aircraft_type] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,726: +PARAM [/sensor_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,726: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,727: +PARAM [/runway_pt2_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,727: +PARAM [/runway_pt2_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,727: +PARAM [/flight_ready] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,727: +PARAM [/runway_pt1_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,728: +PARAM [/network_device] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,728: +PARAM [/verify_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,728: +PARAM [/rosbag_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,728: +PARAM [/runway_pt1_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:00:18,829: +SERVICE [/rosout/get_loggers] /rosout http://copter131:35942/
[rosmaster.master][INFO] 2012-12-31 16:00:18,831: +SERVICE [/rosout/set_logger_level] /rosout http://copter131:35942/
[rosmaster.master][INFO] 2012-12-31 16:00:18,835: +PUB [/rosout_agg] /rosout http://copter131:35942/
[rosmaster.master][INFO] 2012-12-31 16:00:18,844: +SUB [/rosout] /rosout http://copter131:35942/
[rosmaster.master][INFO] 2012-12-31 16:00:19,906: +PUB [/rosout] /radiation_sensor http://copter131:43813/
[rosmaster.master][INFO] 2012-12-31 16:00:19,917: publisherUpdate[/rosout] -> http://copter131:35942/
[rosmaster.master][INFO] 2012-12-31 16:00:19,980: +SERVICE [/radiation_sensor/get_loggers] /radiation_sensor http://copter131:43813/
[rosmaster.master][INFO] 2012-12-31 16:00:19,991: +SERVICE [/radiation_sensor/set_logger_level] /radiation_sensor http://copter131:43813/
[rosmaster.master][INFO] 2012-12-31 16:00:20,030: +PUB [/tactic_interface/radiation] /radiation_sensor http://copter131:43813/
[rosmaster.master][INFO] 2012-12-31 16:00:20,056: -PUB [/tactic_interface/radiation] /radiation_sensor http://copter131:43813/
[rosmaster.master][INFO] 2012-12-31 16:00:20,057: -PUB [/rosout] /radiation_sensor http://copter131:43813/
[rosmaster.master][INFO] 2012-12-31 16:00:20,057: -SERVICE [/radiation_sensor/set_logger_level] /radiation_sensor rosrpc://copter131:37937
[rosmaster.master][INFO] 2012-12-31 16:00:20,057: -SERVICE [/radiation_sensor/get_loggers] /radiation_sensor rosrpc://copter131:37937
[rosmaster.master][INFO] 2012-12-31 16:00:20,118: publisherUpdate[/rosout] -> http://copter131:35942/
[rosmaster.master][INFO] 2012-12-31 16:00:20,237: +PUB [/rosout] /safety http://copter131:50436/
[rosmaster.master][INFO] 2012-12-31 16:00:20,290: +SERVICE [/safety/get_loggers] /safety http://copter131:50436/
[rosmaster.master][INFO] 2012-12-31 16:00:20,316: +SERVICE [/safety/set_logger_level] /safety http://copter131:50436/
[rosmaster.master][INFO] 2012-12-31 16:00:20,319: publisherUpdate[/rosout] -> http://copter131:35942/
[rosmaster.master][INFO] 2012-12-31 16:00:20,476: +PUB [/rosout] /network http://copter131:39413/
[rosmaster.master][INFO] 2012-12-31 16:00:20,523: publisherUpdate[/rosout] -> http://copter131:35942/
[rosmaster.master][INFO] 2012-12-31 16:00:20,561: +SERVICE [/network/get_loggers] /network http://copter131:39413/
[rosmaster.master][INFO] 2012-12-31 16:00:20,596: +SERVICE [/network/set_logger_level] /network http://copter131:39413/
[rosmaster.master][INFO] 2012-12-31 16:00:20,616: +PUB [/autopilot/heartbeat_onboard] /safety http://copter131:50436/
[rosmaster.master][INFO] 2012-12-31 16:00:20,665: +PUB [/safety/healthy] /safety http://copter131:50436/
[rosmaster.master][INFO] 2012-12-31 16:00:20,687: +PUB [/autopilot/payload_waypoint] /safety http://copter131:50436/
[rosmaster.master][INFO] 2012-12-31 16:00:20,728: +PUB [/autopilot/payload_rate] /safety http://copter131:50436/
[rosmaster.master][INFO] 2012-12-31 16:00:20,766: +PUB [/autopilot/payload_attitude] /safety http://copter131:50436/
[rosmaster.master][INFO] 2012-12-31 16:00:20,820: +PUB [/rosout] /autopilot http://copter131:34594/
[rosmaster.master][INFO] 2012-12-31 16:00:20,826: publisherUpdate[/rosout] -> http://copter131:35942/
