[rospy.client][INFO] 2012-12-31 16:00:20,328: init_node, name[/network], pid[2809]
[xmlrpc][INFO] 2012-12-31 16:00:20,333: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2012-12-31 16:00:20,334: Started XML-RPC server [http://copter131:39413/]
[rospy.impl.masterslave][INFO] 2012-12-31 16:00:20,335: _ready: http://copter131:39413/
[rospy.init][INFO] 2012-12-31 16:00:20,336: ROS Slave URI: [http://copter131:39413/]
[xmlrpc][INFO] 2012-12-31 16:00:20,337: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2012-12-31 16:00:20,338: Registering with master node http://localhost:11311
[rospy.init][INFO] 2012-12-31 16:00:20,437: registered with master
[rospy.rosout][INFO] 2012-12-31 16:00:20,438: initializing /rosout core topic
[rospy.rosout][INFO] 2012-12-31 16:00:20,480: connected to core topic /rosout
[rospy.simtime][INFO] 2012-12-31 16:00:20,503: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2012-12-31 16:00:20,665: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2012-12-31 16:00:24,832: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:33823/], count 0
[rospy.internal][INFO] 2012-12-31 16:00:24,839: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:37986/], count 1
[rospy.internal][INFO] 2012-12-31 16:00:24,840: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:46034/], count 1
[rospy.internal][INFO] 2012-12-31 16:00:24,844: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:53587/], count 3
[rospy.internal][INFO] 2012-12-31 16:00:24,966: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:33657/], count 4
[rospy.internal][INFO] 2012-12-31 16:00:25,114: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:34754/], count 5
[rospy.internal][INFO] 2012-12-31 16:00:25,191: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:49622/], count 6
[rospy.internal][INFO] 2012-12-31 16:00:25,315: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:46340/], count 7
[rospy.internal][INFO] 2012-12-31 16:00:25,315: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:57524/], count 7
[rospy.internal][INFO] 2012-12-31 16:00:25,382: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:56482/], count 9
[rospy.internal][INFO] 2012-12-31 16:00:25,385: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:36837/], count 10
[rospy.internal][INFO] 2012-12-31 16:00:25,602: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:55183/], count 11
[rospy.internal][INFO] 2012-12-31 16:00:26,108: topic[/network/recv_pose] adding connection to [/recv_pose_rate], count 0
[rospy.internal][INFO] 2012-12-31 16:00:26,122: topic[/network/send_swarm_behavior_data] adding connection to [http://copter131:52467/], count 12
[rospy.internal][INFO] 2012-12-31 16:00:26,135: topic[/network/recv_pose] adding connection to [/swarm_tracker], count 1
[rospy.internal][INFO] 2012-12-31 16:00:26,140: topic[/network/recv_swarm_ctl_state] adding connection to [/swarm_tracker], count 0
[rospy.internal][INFO] 2019-03-05 07:13:18,557: topic[/autopilot/acs_pose] adding connection to [http://copter131:34594/], count 0
[rospy.internal][INFO] 2019-03-05 07:13:18,729: topic[/air_to_air/firing_reports] adding connection to [http://copter131:36837/], count 0
[rospy.internal][INFO] 2019-03-05 07:13:18,893: topic[/air_to_air/firing_reports] adding connection to [http://copter131:53587/], count 1
[rospy.internal][INFO] 2019-03-05 07:13:19,033: topic[/air_to_air/firing_reports] adding connection to [http://copter131:33823/], count 2
[rospy.internal][INFO] 2019-03-05 07:13:19,036: topic[/air_to_air/firing_reports] adding connection to [http://copter131:55183/], count 3
[rospy.internal][INFO] 2019-03-05 07:13:19,067: topic[/network/swarm_sub_behavior] adding connection to [http://copter131:49622/], count 0
[rospy.internal][INFO] 2019-03-05 07:13:19,069: topic[/air_to_air/firing_reports] adding connection to [http://copter131:49622/], count 4
[rospy.internal][INFO] 2019-03-05 07:13:19,155: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:36745/], count 0
[rospy.internal][INFO] 2019-03-05 07:13:19,187: topic[/swarm_control/swarm_state] adding connection to [http://copter131:36745/], count 0
[rospy.internal][INFO] 2019-03-05 07:13:19,195: topic[/swarm_control/swarm_behavior] adding connection to [http://copter131:36745/], count 0
[rospy.internal][INFO] 2019-03-05 07:13:19,211: topic[/swarm_control/behavior_summary] adding connection to [http://copter131:36745/], count 0
[rospy.internal][INFO] 2019-03-05 07:13:19,359: topic[/autopilot/status] adding connection to [http://copter131:34594/], count 0
[rospy.internal][INFO] 2019-03-05 07:13:19,796: topic[/air_to_air/firing_reports] adding connection to [http://copter131:52467/], count 5
