[rospy.client][INFO] 2012-12-31 16:00:24,719: init_node, name[/tactic_interface], pid[2998]
[xmlrpc][INFO] 2012-12-31 16:00:24,727: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2012-12-31 16:00:24,728: Started XML-RPC server [http://copter131:49622/]
[rospy.impl.masterslave][INFO] 2012-12-31 16:00:24,728: _ready: http://copter131:49622/
[rospy.init][INFO] 2012-12-31 16:00:24,728: ROS Slave URI: [http://copter131:49622/]
[xmlrpc][INFO] 2012-12-31 16:00:24,730: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2012-12-31 16:00:24,730: Registering with master node http://localhost:11311
[rospy.registration][INFO] 2012-12-31 16:00:24,732: Registering publisher topic [/safety/payload_waypoint] type [autopilot_bridge/LLA] with master
[rospy.registration][INFO] 2012-12-31 16:00:24,748: registering subscriber topic [/autopilot/status] type [autopilot_bridge/Status] with master
[rospy.init][INFO] 2012-12-31 16:00:24,829: registered with master
[rospy.rosout][INFO] 2012-12-31 16:00:24,830: initializing /rosout core topic
[rospy.rosout][INFO] 2012-12-31 16:00:24,842: connected to core topic /rosout
[rospy.simtime][INFO] 2012-12-31 16:00:24,853: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2012-12-31 16:00:24,903: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2012-12-31 16:00:25,165: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2012-12-31 16:00:25,192: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-05 07:13:18,747: topic[/autopilot/acs_pose] adding connection to [http://copter131:34594/], count 0
[rospy.internal][INFO] 2019-03-05 07:13:18,861: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:45940/], count 0
[rospy.internal][INFO] 2019-03-05 07:13:19,050: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
[rospy.internal][INFO] 2019-03-05 07:13:19,079: topic[/air_to_air/firing_reports] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-05 07:13:19,085: topic[/network/swarm_sub_behavior] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-05 07:13:19,184: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:36745/], count 0
[rospy.internal][INFO] 2019-03-05 07:13:19,372: topic[/autopilot/status] adding connection to [http://copter131:34594/], count 0
[rospy.internal][INFO] 2019-03-05 07:13:19,627: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-05 07:13:20,128: topic[/swarm_control/ap_intent] adding connection to [http://copter131:36745/], count 0
