[rosmaster.main][INFO] 2012-12-31 16:22:20,310: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-31 16:22:20,311: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-31 16:22:20,312: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2012-12-31 16:22:20,313: Started XML-RPC server [http://copter131:11311/]
[rosmaster.master][INFO] 2012-12-31 16:22:20,313: Master initialized: port[11311], uri[http://copter131:11311/]
[xmlrpc][INFO] 2012-12-31 16:22:20,314: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-31 16:22:20,401: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:22:20,403: +PARAM [/roslaunch/uris/host_copter131__48944] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:22:20,522: +PARAM [/swarm_team] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:22:20,522: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:22:20,522: +PARAM [/aircraft_name] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:22:20,522: +PARAM [/fetch_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:22:20,523: +PARAM [/dis_between_land_points] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:22:20,523: +PARAM [/network_port] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:22:20,523: +PARAM [/aircraft_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:22:20,523: +PARAM [/do_deconflict_land] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:22:20,524: +PARAM [/subswarm_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:22:20,524: +PARAM [/aircraft_type] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:22:20,524: +PARAM [/sensor_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:22:20,524: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:22:20,525: +PARAM [/runway_pt2_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:22:20,525: +PARAM [/runway_pt2_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:22:20,525: +PARAM [/flight_ready] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:22:20,525: +PARAM [/runway_pt1_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:22:20,525: +PARAM [/network_device] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:22:20,526: +PARAM [/verify_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:22:20,526: +PARAM [/rosbag_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:22:20,526: +PARAM [/runway_pt1_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:22:20,624: +SERVICE [/rosout/get_loggers] /rosout http://copter131:47551/
[rosmaster.master][INFO] 2012-12-31 16:22:20,626: +SERVICE [/rosout/set_logger_level] /rosout http://copter131:47551/
[rosmaster.master][INFO] 2012-12-31 16:22:20,630: +PUB [/rosout_agg] /rosout http://copter131:47551/
[rosmaster.master][INFO] 2012-12-31 16:22:20,640: +SUB [/rosout] /rosout http://copter131:47551/
[rosmaster.master][INFO] 2012-12-31 16:22:21,486: +PUB [/rosout] /altitude_sensor http://copter131:60312/
[rosmaster.master][INFO] 2012-12-31 16:22:21,515: publisherUpdate[/rosout] -> http://copter131:47551/
[rosmaster.master][INFO] 2012-12-31 16:22:21,540: +SERVICE [/altitude_sensor/get_loggers] /altitude_sensor http://copter131:60312/
[rosmaster.master][INFO] 2012-12-31 16:22:21,560: +SERVICE [/altitude_sensor/set_logger_level] /altitude_sensor http://copter131:60312/
[rosmaster.master][INFO] 2012-12-31 16:22:21,605: +PUB [/tactic_interface/altitude] /altitude_sensor http://copter131:60312/
[rosmaster.master][INFO] 2012-12-31 16:22:21,627: +PUB [/rosout] /radiation_sensor http://copter131:47319/
[rosmaster.master][INFO] 2012-12-31 16:22:21,670: +SERVICE [/radiation_sensor/get_loggers] /radiation_sensor http://copter131:47319/
[rosmaster.master][INFO] 2012-12-31 16:22:21,690: +SERVICE [/radiation_sensor/set_logger_level] /radiation_sensor http://copter131:47319/
[rosmaster.master][INFO] 2012-12-31 16:22:21,715: +PUB [/tactic_interface/radiation] /radiation_sensor http://copter131:47319/
[rosmaster.master][INFO] 2012-12-31 16:22:21,716: publisherUpdate[/rosout] -> http://copter131:47551/
[rosmaster.master][INFO] 2012-12-31 16:22:21,935: +PUB [/rosout] /safety http://copter131:37141/
[rosmaster.master][INFO] 2012-12-31 16:22:22,000: +SERVICE [/safety/get_loggers] /safety http://copter131:37141/
[rosmaster.master][INFO] 2012-12-31 16:22:22,008: +SERVICE [/safety/set_logger_level] /safety http://copter131:37141/
[rosmaster.master][INFO] 2012-12-31 16:22:22,017: publisherUpdate[/rosout] -> http://copter131:47551/
[rosmaster.master][INFO] 2012-12-31 16:22:22,240: +PUB [/rosout] /network http://copter131:56581/
[rosmaster.master][INFO] 2012-12-31 16:22:22,276: +PUB [/autopilot/heartbeat_onboard] /safety http://copter131:37141/
[rosmaster.master][INFO] 2012-12-31 16:22:22,323: publisherUpdate[/rosout] -> http://copter131:47551/
[rosmaster.master][INFO] 2012-12-31 16:22:22,340: +PUB [/safety/healthy] /safety http://copter131:37141/
[rosmaster.master][INFO] 2012-12-31 16:22:22,355: +PUB [/autopilot/payload_waypoint] /safety http://copter131:37141/
[rosmaster.master][INFO] 2012-12-31 16:22:22,375: +SERVICE [/network/get_loggers] /network http://copter131:56581/
[rosmaster.master][INFO] 2012-12-31 16:22:22,390: +PUB [/autopilot/payload_rate] /safety http://copter131:37141/
[rosmaster.master][INFO] 2012-12-31 16:22:22,415: +SERVICE [/network/set_logger_level] /network http://copter131:56581/
