[rosmaster.main][INFO] 2012-12-31 16:15:14,369: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-31 16:15:14,369: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-31 16:15:14,371: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2012-12-31 16:15:14,372: Started XML-RPC server [http://copter131:11311/]
[rosmaster.master][INFO] 2012-12-31 16:15:14,372: Master initialized: port[11311], uri[http://copter131:11311/]
[xmlrpc][INFO] 2012-12-31 16:15:14,372: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-31 16:15:14,458: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:15:14,461: +PARAM [/roslaunch/uris/host_copter131__58774] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:15:14,579: +PARAM [/swarm_team] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:15:14,579: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:15:14,580: +PARAM [/aircraft_name] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:15:14,580: +PARAM [/fetch_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:15:14,580: +PARAM [/dis_between_land_points] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:15:14,580: +PARAM [/network_port] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:15:14,581: +PARAM [/aircraft_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:15:14,581: +PARAM [/do_deconflict_land] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:15:14,581: +PARAM [/subswarm_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:15:14,581: +PARAM [/aircraft_type] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:15:14,582: +PARAM [/sensor_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:15:14,582: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:15:14,582: +PARAM [/runway_pt2_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:15:14,582: +PARAM [/runway_pt2_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:15:14,583: +PARAM [/flight_ready] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:15:14,583: +PARAM [/runway_pt1_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:15:14,583: +PARAM [/network_device] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:15:14,583: +PARAM [/verify_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:15:14,583: +PARAM [/rosbag_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:15:14,584: +PARAM [/runway_pt1_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:15:14,682: +SERVICE [/rosout/get_loggers] /rosout http://copter131:57339/
