[rospy.client][INFO] 2019-03-05 07:47:04,378: init_node, name[/greedy_shooter], pid[3081]
[xmlrpc][INFO] 2019-03-05 07:47:04,379: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2019-03-05 07:47:04,380: Started XML-RPC server [http://copter131:53230/]
[rospy.impl.masterslave][INFO] 2019-03-05 07:47:04,380: _ready: http://copter131:53230/
[rospy.init][INFO] 2019-03-05 07:47:04,380: ROS Slave URI: [http://copter131:53230/]
[rospy.registration][INFO] 2019-03-05 07:47:04,382: Registering with master node http://localhost:11311
[rospy.registration][INFO] 2019-03-05 07:47:04,383: Registering publisher topic [/safety/payload_waypoint] type [autopilot_bridge/LLA] with master
[xmlrpc][INFO] 2019-03-05 07:47:04,383: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-03-05 07:47:04,391: registering subscriber topic [/autopilot/status] type [autopilot_bridge/Status] with master
[rospy.init][INFO] 2019-03-05 07:47:04,483: registered with master
[rospy.rosout][INFO] 2019-03-05 07:47:04,483: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-05 07:47:04,491: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-05 07:47:04,496: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-05 07:47:04,789: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-05 07:47:04,930: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-05 07:47:05,104: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-05 07:47:06,259: topic[/autopilot/acs_pose] adding connection to [http://copter131:60757/], count 0
[rospy.internal][INFO] 2019-03-05 07:47:06,323: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:36132/], count 0
[rospy.internal][INFO] 2019-03-05 07:47:06,486: topic[/air_to_air/firing_reports] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-05 07:47:06,531: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
[rospy.internal][INFO] 2019-03-05 07:47:06,542: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-05 07:47:06,644: topic[/autopilot/status] adding connection to [http://copter131:60757/], count 0
[rospy.internal][INFO] 2019-03-05 07:47:07,813: topic[/swarm_control/ap_intent] adding connection to [http://copter131:50118/], count 0
[rospy.internal][INFO] 2019-03-05 07:47:07,816: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:50118/], count 0
