[rosmaster.main][INFO] 2012-12-31 16:34:14,326: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-31 16:34:14,327: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-31 16:34:14,328: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2012-12-31 16:34:14,329: Started XML-RPC server [http://copter131:11311/]
[rosmaster.master][INFO] 2012-12-31 16:34:14,329: Master initialized: port[11311], uri[http://copter131:11311/]
[xmlrpc][INFO] 2012-12-31 16:34:14,330: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-31 16:34:14,418: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:34:14,421: +PARAM [/roslaunch/uris/host_copter131__60116] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:34:14,539: +PARAM [/swarm_team] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:34:14,539: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:34:14,539: +PARAM [/aircraft_name] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:34:14,540: +PARAM [/fetch_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:34:14,540: +PARAM [/dis_between_land_points] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:34:14,540: +PARAM [/network_port] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:34:14,540: +PARAM [/aircraft_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:34:14,541: +PARAM [/do_deconflict_land] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:34:14,541: +PARAM [/subswarm_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:34:14,541: +PARAM [/aircraft_type] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:34:14,541: +PARAM [/sensor_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:34:14,542: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:34:14,542: +PARAM [/runway_pt2_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:34:14,542: +PARAM [/runway_pt2_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:34:14,542: +PARAM [/flight_ready] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:34:14,542: +PARAM [/runway_pt1_lat] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:34:14,543: +PARAM [/network_device] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:34:14,543: +PARAM [/verify_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:34:14,543: +PARAM [/rosbag_enable] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:34:14,543: +PARAM [/runway_pt1_lon] by /roslaunch
[rosmaster.master][INFO] 2012-12-31 16:34:14,645: +SERVICE [/rosout/get_loggers] /rosout http://copter131:47325/
[rosmaster.master][INFO] 2012-12-31 16:34:14,647: +SERVICE [/rosout/set_logger_level] /rosout http://copter131:47325/
[rosmaster.master][INFO] 2012-12-31 16:34:14,651: +PUB [/rosout_agg] /rosout http://copter131:47325/
[rosmaster.master][INFO] 2012-12-31 16:34:14,660: +SUB [/rosout] /rosout http://copter131:47325/
[rosmaster.master][INFO] 2012-12-31 16:34:15,525: +PUB [/rosout] /altitude_sensor http://copter131:60453/
[rosmaster.master][INFO] 2012-12-31 16:34:15,530: publisherUpdate[/rosout] -> http://copter131:47325/
[rosmaster.master][INFO] 2012-12-31 16:34:15,593: +SERVICE [/altitude_sensor/get_loggers] /altitude_sensor http://copter131:60453/
[rosmaster.master][INFO] 2012-12-31 16:34:15,602: +SERVICE [/altitude_sensor/set_logger_level] /altitude_sensor http://copter131:60453/
[rosmaster.master][INFO] 2012-12-31 16:34:15,618: +PUB [/tactic_interface/altitude] /altitude_sensor http://copter131:60453/
[rosmaster.master][INFO] 2012-12-31 16:34:15,655: +PUB [/rosout] /radiation_sensor http://copter131:44688/
[rosmaster.master][INFO] 2012-12-31 16:34:15,655: publisherUpdate[/rosout] -> http://copter131:47325/
[rosmaster.master][INFO] 2012-12-31 16:34:15,720: +SERVICE [/radiation_sensor/get_loggers] /radiation_sensor http://copter131:44688/
[rosmaster.master][INFO] 2012-12-31 16:34:15,750: +SERVICE [/radiation_sensor/set_logger_level] /radiation_sensor http://copter131:44688/
[rosmaster.master][INFO] 2012-12-31 16:34:15,757: +PUB [/tactic_interface/radiation] /radiation_sensor http://copter131:44688/
[rosmaster.master][INFO] 2012-12-31 16:34:15,951: +PUB [/rosout] /safety http://copter131:51748/
[rosmaster.master][INFO] 2012-12-31 16:34:15,964: publisherUpdate[/rosout] -> http://copter131:47325/
[rosmaster.master][INFO] 2012-12-31 16:34:16,015: +SERVICE [/safety/get_loggers] /safety http://copter131:51748/
[rosmaster.master][INFO] 2012-12-31 16:34:16,040: +SERVICE [/safety/set_logger_level] /safety http://copter131:51748/
[rosmaster.master][INFO] 2012-12-31 16:34:16,260: +PUB [/rosout] /network http://copter131:59850/
[rosmaster.master][INFO] 2012-12-31 16:34:16,269: publisherUpdate[/rosout] -> http://copter131:47325/
[rosmaster.master][INFO] 2012-12-31 16:34:16,355: +SERVICE [/network/get_loggers] /network http://copter131:59850/
[rosmaster.master][INFO] 2012-12-31 16:34:16,375: +PUB [/autopilot/heartbeat_onboard] /safety http://copter131:51748/
[rosmaster.master][INFO] 2012-12-31 16:34:16,380: +SERVICE [/network/set_logger_level] /network http://copter131:59850/
[rosmaster.master][INFO] 2012-12-31 16:34:16,405: +PUB [/safety/healthy] /safety http://copter131:51748/
[rosmaster.master][INFO] 2012-12-31 16:34:16,430: +PUB [/autopilot/payload_waypoint] /safety http://copter131:51748/
[rosmaster.master][INFO] 2012-12-31 16:34:16,480: +PUB [/autopilot/payload_rate] /safety http://copter131:51748/
[rosmaster.master][INFO] 2012-12-31 16:34:16,516: +PUB [/autopilot/payload_attitude] /safety http://copter131:51748/
[rosmaster.master][INFO] 2012-12-31 16:34:16,561: +PUB [/rosout] /hit_tracker http://copter131:36132/
[rosmaster.master][INFO] 2012-12-31 16:34:16,577: publisherUpdate[/rosout] -> http://copter131:47325/
[rosmaster.master][INFO] 2012-12-31 16:34:16,630: +PUB [/rosout] /autopilot http://copter131:60757/
[rosmaster.master][INFO] 2012-12-31 16:34:16,635: publisherUpdate[/rosout] -> http://copter131:47325/
[rosmaster.master][INFO] 2012-12-31 16:34:16,700: +SERVICE [/hit_tracker/get_loggers] /hit_tracker http://copter131:36132/
[rosmaster.master][INFO] 2012-12-31 16:34:16,738: +PARAM [/subswarm_id] by /unnamed
[rosmaster.master][INFO] 2012-12-31 16:34:16,745: +SERVICE [/autopilot/get_loggers] /autopilot http://copter131:60757/
[rosmaster.master][INFO] 2012-12-31 16:34:16,753: +SERVICE [/hit_tracker/set_logger_level] /hit_tracker http://copter131:36132/
[rosmaster.master][INFO] 2012-12-31 16:34:16,789: +SERVICE [/autopilot/set_logger_level] /autopilot http://copter131:60757/
[rosmaster.master][INFO] 2012-12-31 16:34:16,803: +SERVICE [/hit_tracker/reset] /hit_tracker http://copter131:36132/
[rosmaster.master][INFO] 2012-12-31 16:34:16,850: +PUB [/rosout] /task_runner http://copter131:34497/
[rosmaster.master][INFO] 2012-12-31 16:34:16,867: +SUB [/autopilot/heartbeat_ground] /safety http://copter131:51748/
[rosmaster.master][INFO] 2012-12-31 16:34:16,872: +PUB [/rosout] /recv_pose_rate http://copter131:52917/
[rosmaster.master][INFO] 2012-12-31 16:34:16,883: publisherUpdate[/rosout] -> http://copter131:47325/
[rosmaster.master][INFO] 2012-12-31 16:34:16,887: publisherUpdate[/rosout] -> http://copter131:47325/
[rosmaster.master][INFO] 2012-12-31 16:34:16,955: +SERVICE [/task_runner/get_loggers] /task_runner http://copter131:34497/
[rosmaster.master][INFO] 2012-12-31 16:34:16,958: +SERVICE [/recv_pose_rate/get_loggers] /recv_pose_rate http://copter131:52917/
[rosmaster.master][INFO] 2012-12-31 16:34:16,972: +PUB [/rosout] /swarm_tracker http://copter131:47383/
[rosmaster.master][INFO] 2012-12-31 16:34:16,992: publisherUpdate[/rosout] -> http://copter131:47325/
[rosmaster.master][INFO] 2012-12-31 16:34:17,055: +SERVICE [/task_runner/set_logger_level] /task_runner http://copter131:34497/
[rosmaster.master][INFO] 2012-12-31 16:34:17,075: +SERVICE [/recv_pose_rate/set_logger_level] /recv_pose_rate http://copter131:52917/
[rosmaster.master][INFO] 2012-12-31 16:34:17,095: +PUB [/rosout] /red_tracker http://copter131:37977/
[rosmaster.master][INFO] 2012-12-31 16:34:17,097: publisherUpdate[/rosout] -> http://copter131:47325/
[rosmaster.master][INFO] 2012-12-31 16:34:17,140: +SUB [/swarm_control/subswarm_id] /network http://copter131:59850/
[rosmaster.master][INFO] 2012-12-31 16:34:17,231: +SERVICE [/swarm_tracker/get_loggers] /swarm_tracker http://copter131:47383/
[rosmaster.master][INFO] 2012-12-31 16:34:17,345: +SERVICE [/red_tracker/get_loggers] /red_tracker http://copter131:37977/
[rosmaster.master][INFO] 2012-12-31 16:34:17,367: +SERVICE [/swarm_tracker/set_logger_level] /swarm_tracker http://copter131:47383/
[rosmaster.master][INFO] 2012-12-31 16:34:17,369: +SUB [/autopilot/acs_pose] /safety http://copter131:51748/
[rosmaster.master][INFO] 2012-12-31 16:34:17,400: +SUB [/network/recv_swarm_data] /hit_tracker http://copter131:36132/
[rosmaster.master][INFO] 2012-12-31 16:34:17,445: +SERVICE [/red_tracker/set_logger_level] /red_tracker http://copter131:37977/
[rosmaster.master][INFO] 2012-12-31 16:34:17,610: +PUB [/rosout] /independent_transit http://copter131:54310/
[rosmaster.master][INFO] 2012-12-31 16:34:17,639: publisherUpdate[/rosout] -> http://copter131:47325/
[rosmaster.master][INFO] 2012-12-31 16:34:17,747: +SUB [/autopilot/status] /task_runner http://copter131:34497/
[rosmaster.master][INFO] 2012-12-31 16:34:17,760: +SUB [/network/recv_pose] /recv_pose_rate http://copter131:52917/
[rosmaster.master][INFO] 2012-12-31 16:34:17,818: +PUB [/logging/recv_pose_rate] /recv_pose_rate http://copter131:52917/
[rosmaster.master][INFO] 2019-03-05 07:47:02,722: +SUB [/safety/payload_waypoint] /safety http://copter131:51748/
[rosmaster.master][INFO] 2019-03-05 07:47:02,743: +SUB [/autopilot/acs_pose] /swarm_tracker http://copter131:47383/
[rosmaster.master][INFO] 2019-03-05 07:47:02,758: +SUB [/network/net_reset] /hit_tracker http://copter131:36132/
[rosmaster.master][INFO] 2019-03-05 07:47:02,774: +PUB [/rosout] /simple_ground_attack http://copter131:48376/
[rosmaster.master][INFO] 2019-03-05 07:47:02,802: +SUB [/swarm_control/swarm_behavior] /network http://copter131:59850/
[rosmaster.master][INFO] 2019-03-05 07:47:02,803: publisherUpdate[/rosout] -> http://copter131:47325/
[rosmaster.master][INFO] 2019-03-05 07:47:02,823: +SUB [/autopilot/acs_pose] /red_tracker http://copter131:37977/
[rosmaster.master][INFO] 2019-03-05 07:47:02,883: +PUB [/hit_tracker/hit_uavs] /hit_tracker http://copter131:36132/
[rosmaster.master][INFO] 2019-03-05 07:47:02,900: +PUB [/rosout] /swarm_control http://copter131:50118/
[rosmaster.master][INFO] 2019-03-05 07:47:02,914: publisherUpdate[/rosout] -> http://copter131:47325/
[rosmaster.master][INFO] 2019-03-05 07:47:03,064: +PUB [/rosout] /linear_formation http://copter131:50019/
[rosmaster.master][INFO] 2019-03-05 07:47:03,103: +SERVICE [/swarm_control/get_loggers] /swarm_control http://copter131:50118/
[rosmaster.master][INFO] 2019-03-05 07:47:03,120: publisherUpdate[/rosout] -> http://copter131:47325/
[rosmaster.master][INFO] 2019-03-05 07:47:03,217: +SERVICE [/swarm_control/set_logger_level] /swarm_control http://copter131:50118/
[rosmaster.master][INFO] 2019-03-05 07:47:03,263: +PUB [/rosout] /swarm_landing_sequencer http://copter131:56910/
[rosmaster.master][INFO] 2019-03-05 07:47:03,272: +SERVICE [/linear_formation/get_loggers] /linear_formation http://copter131:50019/
[rosmaster.master][INFO] 2019-03-05 07:47:03,308: +SERVICE [/swarm_control/register_behavior] /swarm_control http://copter131:50118/
[rosmaster.master][INFO] 2019-03-05 07:47:03,328: publisherUpdate[/rosout] -> http://copter131:47325/
[rosmaster.master][INFO] 2019-03-05 07:47:03,369: +SERVICE [/linear_formation/set_logger_level] /linear_formation http://copter131:50019/
[rosmaster.master][INFO] 2019-03-05 07:47:03,396: +SERVICE [/swarm_control/run_behavior] /swarm_control http://copter131:50118/
[rosmaster.master][INFO] 2019-03-05 07:47:03,433: +SUB [/network/swarm_sub_behavior] /network http://copter131:59850/
[rosmaster.master][INFO] 2019-03-05 07:47:03,448: +SUB [/network/recv_red_pose] /red_tracker http://copter131:37977/
[rosmaster.master][INFO] 2019-03-05 07:47:03,503: +SERVICE [/swarm_landing_sequencer/get_loggers] /swarm_landing_sequencer http://copter131:56910/
[rosmaster.master][INFO] 2019-03-05 07:47:03,538: +SERVICE [/independent_transit/get_loggers] /independent_transit http://copter131:54310/
[rosmaster.master][INFO] 2019-03-05 07:47:03,543: +SERVICE [/swarm_control/pause_behavior] /swarm_control http://copter131:50118/
[rosmaster.master][INFO] 2019-03-05 07:47:03,592: +PUB [/red_tracker/red_uav_states] /red_tracker http://copter131:37977/
[rosmaster.master][INFO] 2019-03-05 07:47:03,598: +SERVICE [/swarm_landing_sequencer/set_logger_level] /swarm_landing_sequencer http://copter131:56910/
[rosmaster.master][INFO] 2019-03-05 07:47:03,642: +SERVICE [/swarm_control/set_subswarm] /swarm_control http://copter131:50118/
[rosmaster.master][INFO] 2019-03-05 07:47:03,678: +PUB [/rosout] /patrol_box http://copter131:46903/
[rosmaster.master][INFO] 2019-03-05 07:47:03,734: publisherUpdate[/rosout] -> http://copter131:47325/
[rosmaster.master][INFO] 2019-03-05 07:47:03,768: +SUB [/network/recv_pose] /swarm_tracker http://copter131:47383/
[rosmaster.master][INFO] 2019-03-05 07:47:03,788: +SERVICE [/swarm_control/set_swarm_state] /swarm_control http://copter131:50118/
[rosmaster.master][INFO] 2019-03-05 07:47:03,927: +SERVICE [/patrol_box/get_loggers] /patrol_box http://copter131:46903/
[rosmaster.master][INFO] 2019-03-05 07:47:03,953: +SERVICE [/patrol_box/set_logger_level] /patrol_box http://copter131:46903/
[rosmaster.master][INFO] 2019-03-05 07:47:04,008: +SUB [/autopilot/status] /linear_formation http://copter131:50019/
[rosmaster.master][INFO] 2019-03-05 07:47:04,011: +SUB [/network/recv_swarm_ctl_state] /swarm_tracker http://copter131:47383/
[rosmaster.master][INFO] 2019-03-05 07:47:04,015: +PUB [/rosout] /wingman http://copter131:38891/
[rosmaster.master][INFO] 2019-03-05 07:47:04,019: +PUB [/safety/payload_waypoint] /linear_formation http://copter131:50019/
[rosmaster.master][INFO] 2019-03-05 07:47:04,032: +SUB [/autopilot/status] /swarm_landing_sequencer http://copter131:56910/
[rosmaster.master][INFO] 2019-03-05 07:47:04,037: publisherUpdate[/rosout] -> http://copter131:47325/
[rosmaster.master][INFO] 2019-03-05 07:47:04,042: publisherUpdate[/safety/payload_waypoint] -> http://copter131:51748/
[rosmaster.master][INFO] 2019-03-05 07:47:04,053: +PUB [/safety/payload_waypoint] /swarm_landing_sequencer http://copter131:56910/
[rosmaster.master][INFO] 2019-03-05 07:47:04,055: +SERVICE [/wingman/get_loggers] /wingman http://copter131:38891/
[rosmaster.master][INFO] 2019-03-05 07:47:04,059: +SUB [/autopilot/status] /patrol_box http://copter131:46903/
[rosmaster.master][INFO] 2019-03-05 07:47:04,064: +PUB [/rosout] /constrained_shooter http://copter131:47452/
[rosmaster.master][INFO] 2019-03-05 07:47:04,072: +SERVICE [/wingman/set_logger_level] /wingman http://copter131:38891/
[rosmaster.master][INFO] 2019-03-05 07:47:04,080: +PUB [/safety/payload_waypoint] /patrol_box http://copter131:46903/
[rosmaster.master][INFO] 2019-03-05 07:47:04,091: +PUB [/safety/payload_waypoint] /tactic_interface http://copter131:43709/
[rosmaster.master][INFO] 2019-03-05 07:47:04,111: +SERVICE [/constrained_shooter/get_loggers] /constrained_shooter http://copter131:47452/
[rosmaster.master][INFO] 2019-03-05 07:47:04,112: +SUB [/swarm_control/subswarm_id] /swarm_tracker http://copter131:47383/
[rosmaster.master][INFO] 2019-03-05 07:47:04,115: +SUB [/autopilot/status] /tactic_interface http://copter131:43709/
[rosmaster.master][INFO] 2019-03-05 07:47:04,126: +PUB [/rosout] /pn_interceptor http://copter131:51036/
[rosmaster.master][INFO] 2019-03-05 07:47:04,128: +SUB [/swarm_control/subswarm_id] /linear_formation http://copter131:50019/
[rosmaster.master][INFO] 2019-03-05 07:47:04,146: publisherUpdate[/safety/payload_waypoint] -> http://copter131:51748/
[rosmaster.master][INFO] 2019-03-05 07:47:04,148: publisherUpdate[/rosout] -> http://copter131:47325/
[rosmaster.master][INFO] 2019-03-05 07:47:04,152: publisherUpdate[/safety/payload_waypoint] -> http://copter131:51748/
[rosmaster.master][INFO] 2019-03-05 07:47:04,154: publisherUpdate[/rosout] -> http://copter131:47325/
[rosmaster.master][INFO] 2019-03-05 07:47:04,157: publisherUpdate[/safety/payload_waypoint] -> http://copter131:51748/
[rosmaster.master][INFO] 2019-03-05 07:47:04,168: +SERVICE [/pn_interceptor/get_loggers] /pn_interceptor http://copter131:51036/
[rosmaster.master][INFO] 2019-03-05 07:47:04,189: +SUB [/swarm_control/subswarm_id] /swarm_landing_sequencer http://copter131:56910/
[rosmaster.master][INFO] 2019-03-05 07:47:04,192: +SERVICE [/pn_interceptor/set_logger_level] /pn_interceptor http://copter131:51036/
[rosmaster.master][INFO] 2019-03-05 07:47:04,195: +PUB [/rosout] /tactic_interface http://copter131:43709/
[rosmaster.master][INFO] 2019-03-05 07:47:04,195: +SUB [/swarm_control/subswarm_id] /patrol_box http://copter131:46903/
[rosmaster.master][INFO] 2019-03-05 07:47:04,200: +SUB [/safety/payload_rate] /safety http://copter131:51748/
[rosmaster.master][INFO] 2019-03-05 07:47:04,215: +SUB [/swarm_control/swarm_state] /swarm_tracker http://copter131:47383/
[rosmaster.master][INFO] 2019-03-05 07:47:04,221: +SERVICE [/tactic_interface/get_loggers] /tactic_interface http://copter131:43709/
[rosmaster.master][INFO] 2019-03-05 07:47:04,229: +SUB [/swarm_control/ap_intent] /linear_formation http://copter131:50019/
[rosmaster.master][INFO] 2019-03-05 07:47:04,234: +SERVICE [/tactic_interface/set_logger_level] /tactic_interface http://copter131:43709/
[rosmaster.master][INFO] 2019-03-05 07:47:04,250: publisherUpdate[/rosout] -> http://copter131:47325/
[rosmaster.master][INFO] 2019-03-05 07:47:04,257: +SUB [/swarm_control/ap_intent] /swarm_landing_sequencer http://copter131:56910/
[rosmaster.master][INFO] 2019-03-05 07:47:04,269: +SUB [/safety/payload_attitude] /safety http://copter131:51748/
[rosmaster.master][INFO] 2019-03-05 07:47:04,275: +SUB [/autopilot/status] /pn_interceptor http://copter131:51036/
[rosmaster.master][INFO] 2019-03-05 07:47:04,282: +SUB [/swarm_control/swarm_behavior] /swarm_tracker http://copter131:47383/
[rosmaster.master][INFO] 2019-03-05 07:47:04,287: +PUB [/safety/payload_waypoint] /pn_interceptor http://copter131:51036/
[rosmaster.master][INFO] 2019-03-05 07:47:04,294: +SUB [/network/recv_swarm_data] /linear_formation http://copter131:50019/
[rosmaster.master][INFO] 2019-03-05 07:47:04,298: +SUB [/swarm_control/subswarm_id] /tactic_interface http://copter131:43709/
[rosmaster.master][INFO] 2019-03-05 07:47:04,305: +PUB [/swarm_control/behavior_status] /linear_formation http://copter131:50019/
[rosmaster.master][INFO] 2019-03-05 07:47:04,317: +PUB [/network/send_swarm_behavior_data] /linear_formation http://copter131:50019/
[rosmaster.master][INFO] 2019-03-05 07:47:04,321: +SUB [/network/recv_swarm_data] /swarm_landing_sequencer http://copter131:56910/
[rosmaster.master][INFO] 2019-03-05 07:47:04,329: +SERVICE [/linear_formation/set] /linear_formation http://copter131:50019/
[rosmaster.master][INFO] 2019-03-05 07:47:04,333: +PUB [/swarm_control/behavior_status] /swarm_landing_sequencer http://copter131:56910/
[rosmaster.master][INFO] 2019-03-05 07:47:04,340: +SERVICE [/linear_formation/run] /linear_formation http://copter131:50019/
[rosmaster.master][INFO] 2019-03-05 07:47:04,342: +SUB [/autopilot/status] /swarm_tracker http://copter131:47383/
[rosmaster.master][INFO] 2019-03-05 07:47:04,344: +PUB [/network/send_swarm_behavior_data] /swarm_landing_sequencer http://copter131:56910/
[rosmaster.master][INFO] 2019-03-05 07:47:04,346: +PUB [/rosout] /evader http://copter131:58780/
[rosmaster.master][INFO] 2019-03-05 07:47:04,349: +SUB [/swarm_control/subswarm_id] /pn_interceptor http://copter131:51036/
[rosmaster.master][INFO] 2019-03-05 07:47:04,351: +SERVICE [/linear_formation/pause] /linear_formation http://copter131:50019/
[rosmaster.master][INFO] 2019-03-05 07:47:04,353: +PUB [/swarm_tracker/swarm_uav_states] /swarm_tracker http://copter131:47383/
[rosmaster.master][INFO] 2019-03-05 07:47:04,355: +SERVICE [/swarm_landing_sequencer/set] /swarm_landing_sequencer http://copter131:56910/
[rosmaster.master][INFO] 2019-03-05 07:47:04,358: +SUB [/swarm_control/ap_intent] /tactic_interface http://copter131:43709/
[rosmaster.master][INFO] 2019-03-05 07:47:04,359: publisherUpdate[/safety/payload_waypoint] -> http://copter131:51748/
[rosmaster.master][INFO] 2019-03-05 07:47:04,364: publisherUpdate[/rosout] -> http://copter131:47325/
[rosmaster.master][INFO] 2019-03-05 07:47:04,368: +SERVICE [/swarm_landing_sequencer/run] /swarm_landing_sequencer http://copter131:56910/
[rosmaster.master][INFO] 2019-03-05 07:47:04,378: +SERVICE [/evader/get_loggers] /evader http://copter131:58780/
[rosmaster.master][INFO] 2019-03-05 07:47:04,379: +SERVICE [/swarm_landing_sequencer/pause] /swarm_landing_sequencer http://copter131:56910/
[rosmaster.master][INFO] 2019-03-05 07:47:04,386: +SERVICE [/evader/set_logger_level] /evader http://copter131:58780/
[rosmaster.master][INFO] 2019-03-05 07:47:04,389: +PUB [/safety/payload_waypoint] /greedy_shooter http://copter131:53230/
[rosmaster.master][INFO] 2019-03-05 07:47:04,397: +SUB [/autopilot/status] /greedy_shooter http://copter131:53230/
[rosmaster.master][INFO] 2019-03-05 07:47:04,405: +SUB [/swarm_control/ap_intent] /pn_interceptor http://copter131:51036/
[rosmaster.master][INFO] 2019-03-05 07:47:04,409: +SUB [/network/recv_swarm_data] /tactic_interface http://copter131:43709/
