[rospy.client][INFO] 2012-12-31 16:34:17,746: init_node, name[/simple_ground_attack], pid[2996]
[xmlrpc][INFO] 2012-12-31 16:34:17,748: XML-RPC server binding to 0.0.0.0:0
[rospy.init][INFO] 2012-12-31 16:34:17,750: ROS Slave URI: [http://copter131:48376/]
[xmlrpc][INFO] 2012-12-31 16:34:17,750: Started XML-RPC server [http://copter131:48376/]
[rospy.impl.masterslave][INFO] 2012-12-31 16:34:17,751: _ready: http://copter131:48376/
[xmlrpc][INFO] 2012-12-31 16:34:17,753: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2012-12-31 16:34:17,758: Registering with master node http://localhost:11311
[rospy.init][INFO] 2012-12-31 16:34:17,852: registered with master
[rospy.rosout][INFO] 2012-12-31 16:34:17,852: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-05 07:47:02,778: connected to core topic /rosout
[rospy.internal][INFO] 2019-03-05 07:47:03,030: topic[/rosout] adding connection to [/rosout], count 0
[rospy.simtime][INFO] 2019-03-05 07:47:03,611: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-05 07:47:04,934: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-05 07:47:05,105: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-05 07:47:05,109: topic[/safety/payload_rate] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-05 07:47:05,881: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
[rospy.internal][INFO] 2019-03-05 07:47:06,561: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-05 07:47:06,650: topic[/autopilot/status] adding connection to [http://copter131:60757/], count 0
[rospy.internal][INFO] 2019-03-05 07:47:06,776: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:50118/], count 0
[rospy.internal][INFO] 2019-03-05 07:47:06,823: topic[/swarm_control/ap_intent] adding connection to [http://copter131:50118/], count 0
