[rospy.client][INFO] 2019-03-05 07:47:04,057: init_node, name[/tactic_interface], pid[3009]
[xmlrpc][INFO] 2019-03-05 07:47:04,067: XML-RPC server binding to 0.0.0.0:0
[rospy.init][INFO] 2019-03-05 07:47:04,070: ROS Slave URI: [http://copter131:43709/]
[xmlrpc][INFO] 2019-03-05 07:47:04,069: Started XML-RPC server [http://copter131:43709/]
[rospy.impl.masterslave][INFO] 2019-03-05 07:47:04,070: _ready: http://copter131:43709/
[rospy.registration][INFO] 2019-03-05 07:47:04,071: Registering with master node http://localhost:11311
[rospy.registration][INFO] 2019-03-05 07:47:04,072: Registering publisher topic [/safety/payload_waypoint] type [autopilot_bridge/LLA] with master
[xmlrpc][INFO] 2019-03-05 07:47:04,074: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-03-05 07:47:04,092: registering subscriber topic [/autopilot/status] type [autopilot_bridge/Status] with master
[rospy.init][INFO] 2019-03-05 07:47:04,170: registered with master
[rospy.rosout][INFO] 2019-03-05 07:47:04,171: initializing /rosout core topic
[rospy.rosout][INFO] 2019-03-05 07:47:04,197: connected to core topic /rosout
[rospy.simtime][INFO] 2019-03-05 07:47:04,212: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2019-03-05 07:47:04,366: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2019-03-05 07:47:04,923: topic[/network/send_swarm_behavior_data] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-05 07:47:05,103: topic[/safety/payload_waypoint] adding connection to [/safety], count 0
[rospy.internal][INFO] 2019-03-05 07:47:06,349: topic[/autopilot/acs_pose] adding connection to [http://copter131:60757/], count 0
[rospy.internal][INFO] 2019-03-05 07:47:06,414: topic[/hit_tracker/hit_uavs] adding connection to [http://copter131:36132/], count 0
[rospy.internal][INFO] 2019-03-05 07:47:06,520: topic[/swarm_control/behavior_status] adding connection to [/swarm_control], count 0
[rospy.internal][INFO] 2019-03-05 07:47:06,526: topic[/air_to_air/firing_reports] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-05 07:47:06,537: topic[/autopilot/waypoint_goto] adding connection to [/autopilot], count 0
[rospy.internal][INFO] 2019-03-05 07:47:06,540: topic[/network/swarm_sub_behavior] adding connection to [/network], count 0
[rospy.internal][INFO] 2019-03-05 07:47:06,629: topic[/autopilot/status] adding connection to [http://copter131:60757/], count 0
[rospy.internal][INFO] 2019-03-05 07:47:06,820: topic[/swarm_control/subswarm_id] adding connection to [http://copter131:50118/], count 0
[rospy.internal][INFO] 2019-03-05 07:47:07,790: topic[/swarm_control/ap_intent] adding connection to [http://copter131:50118/], count 0
