2018-04-24 01:00:16.079137,['', '7', '2', '19', '5', '00', 'PRDER', '4665', '9C\r\n']
2018-04-24 01:00:16.982016,['', '9', '2', '19', '5', '00', 'PRDER', '4665', '9E\r\n']
2018-04-24 01:00:17.885218,['', '10', '2', '19', '5', '00', 'PRDER', '4665', 'C6\r\n']
2018-04-24 01:00:18.787838,['', '10', '2', '19', '5', '00', 'PRDER', '4665', 'C6\r\n']
2018-04-24 01:00:21.493706,['', '10', '2', '20', '5', '00', 'PRDER', '4665', 'BE\r\n']
2018-04-24 01:00:22.396834,['', '10', '2', '21', '5', '00', 'PRDER', '4665', 'BF\r\n']
2018-04-24 01:00:23.299616,['', '7', '2', '21', '5', '00', 'PRDER', '4665', '95\r\n']
2018-04-24 01:00:24.202081,['', '7', '2', '21', '5', '00', 'PRDER', '4665', '95\r\n']
2018-04-24 01:00:25.105037,['', '7', '2', '21', '5', '00', 'PRDER', '4665', '95\r\n']
2018-04-24 01:00:26.008124,['', '6', '2', '20', '5', '00', 'PRDER', '4665', '93\r\n']
2018-04-24 01:00:26.910601,['', '6', '2', '20', '5', '00', 'PRDER', '4665', '93\r\n']
2018-04-24 01:00:27.813239,['', '6', '2', '19', '5', '00', 'PRDER', '4665', '9B\r\n']
2018-04-24 01:00:30.522347,['', '6', '2', '20', '5', '00', 'PRDER', '4665', '93\r\n']
2018-04-24 01:00:31.425445,['', '6', '2', '20', '5', '00', 'PRDER', '4665', '93\r\n']
2018-04-24 01:00:32.328450,['', '6', '2', '19', '5', '00', 'PRDER', '4665', '9B\r\n']
2018-04-24 01:00:33.231536,['', '6', '2', '19', '5', '00', 'PRDER', '4665', '9B\r\n']
2018-04-24 01:00:34.138638,['', '6', '2', '20', '5', '00', 'PRDER', '4665', '93\r\n']
2018-04-24 01:00:35.041349,['', '4', '2', '18', '5', '00', 'PRDER', '4665', '98\r\n']
2018-04-24 01:00:35.943978,['', '4', '2', '19', '5', '00', 'PRDER', '4665', '99\r\n']
2018-04-24 01:00:36.846472,['', '4', '2', '20', '5', '00', 'PRDER', '4665', '91\r\n']
2018-04-24 01:00:37.749009,['', '5', '2', '20', '5', '00', 'PRDER', '4665', '92\r\n']
2018-04-24 01:00:40.454373,['', '5', '2', '20', '5', '00', 'PRDER', '4665', '92\r\n']
2018-04-24 01:00:41.356527,['', '5', '2', '20', '5', '00', 'PRDER', '4665', '92\r\n']
